Time - Dev10/ai1	Amplitude - Dev10/ai1
0	0.20625
4.00E-06	0.205921
8.00E-06	0.204112
1.20E-05	0.205592
1.60E-05	0.204441
2.00E-05	0.205099
2.40E-05	0.20477
2.80E-05	0.20477
3.20E-05	0.203783
3.60E-05	0.206414
4.00E-05	0.204605
4.40E-05	0.20477
4.80E-05	0.205263
5.20E-05	0.205428
5.60E-05	0.205263
6.00E-05	0.205428
6.40E-05	0.205263
6.80E-05	0.203783
7.20E-05	0.207237
7.60E-05	0.203618
8.00E-05	0.206414
8.40E-05	0.204934
8.80E-05	0.205428
9.20E-05	0.205428
9.60E-05	0.205592
1.00E-04	0.205428
0.000104	0.206085
0.000108	0.205756
0.000112	0.204441
0.000116	0.205263
0.00012	0.204441
0.000124	0.20477
0.000128	0.204441
0.000132	0.205099
0.000136	0.20477
0.00014	0.206743
0.000144	0.205428
0.000148	0.204441
0.000152	0.205756
0.000156	0.204934
0.00016	0.205428
0.000164	0.205099
0.000168	0.205099
0.000172	0.204605
0.000176	0.203618
0.00018	0.206579
0.000184	0.203125
0.000188	0.205428
0.000192	0.204605
0.000196	0.205099
0.0002	0.204934
0.000204	0.20477
0.000208	0.205099
0.000212	0.203783
0.000216	0.206579
0.00022	0.203289
0.000224	0.205428
0.000228	0.20477
0.000232	0.205099
0.000236	0.205099
0.00024	0.205263
0.000244	0.205263
0.000248	0.205263
0.000252	0.20625
0.000256	0.203289
0.00026	0.204934
0.000264	0.203947
0.000268	0.204934
0.000272	0.204934
0.000276	0.205099
0.00028	0.204934
0.000284	0.20625
0.000288	0.205099
0.000292	0.204934
0.000296	0.205921
0.0003	0.205099
0.000304	0.205428
0.000308	0.205099
0.000312	0.204934
0.000316	0.204605
0.00032	0.206085
0.000324	0.20477
0.000328	0.205263
0.000332	0.20625
0.000336	0.205592
0.00034	0.205428
0.000344	0.205263
0.000348	0.205263
0.000352	0.204934
0.000356	0.20625
0.00036	0.205099
0.000364	0.205099
0.000368	0.205921
0.000372	0.205263
0.000376	0.205428
0.00038	0.205263
0.000384	0.205592
0.000388	0.205592
0.000392	0.206414
0.000396	0.204934
0.0004	0.205263
0.000404	0.205592
0.000408	0.205099
0.000412	0.206085
0.000416	0.205592
0.00042	0.205592
0.000424	0.205099
0.000428	0.206414
0.000432	0.204441
0.000436	0.204605
0.00044	0.205592
0.000444	0.205263
0.000448	0.205756
0.000452	0.205428
0.000456	0.205428
0.00046	0.203454
0.000464	0.206414
0.000468	0.204276
0.000472	0.20477
0.000476	0.205099
0.00048	0.205099
0.000484	0.204934
0.000488	0.204934
0.000492	0.205099
0.000496	0.204605
0.0005	0.206743
0.000504	0.204605
0.000508	0.20477
0.000512	0.205756
0.000516	0.20477
0.00052	0.205263
0.000524	0.205263
0.000528	0.205756
0.000532	0.205099
0.000536	0.206579
0.00054	0.204441
0.000544	0.204441
0.000548	0.205263
0.000552	0.205263
0.000556	0.205592
0.00056	0.205756
0.000564	0.205428
0.000568	0.205263
0.000572	0.205921
0.000576	0.204934
0.00058	0.205263
0.000584	0.20625
0.000588	0.205592
0.000592	0.205921
0.000596	0.205428
0.0006	0.205263
0.000604	0.203289
0.000608	0.206414
0.000612	0.20477
0.000616	0.204605
0.00062	0.204934
0.000624	0.20477
0.000628	0.20477
0.000632	0.204934
0.000636	0.20477
0.00064	0.203783
0.000644	0.207237
0.000648	0.203947
0.000652	0.206414
0.000656	0.205263
0.00066	0.205592
0.000664	0.205263
0.000668	0.205592
0.000672	0.205756
0.000676	0.206414
0.00068	0.205921
0.000684	0.204112
0.000688	0.205592
0.000692	0.204276
0.000696	0.204934
0.0007	0.205099
0.000704	0.204934
0.000708	0.204934
0.000712	0.206085
0.000716	0.204934
0.00072	0.205263
0.000724	0.206085
0.000728	0.205263
0.000732	0.205756
0.000736	0.205099
0.00074	0.205099
0.000744	0.203289
0.000748	0.206908
0.000752	0.204112
0.000756	0.204605
0.00076	0.204605
0.000764	0.204605
0.000768	0.20477
0.000772	0.20477
