Time - Dev7/ai0	Amplitude - Dev7/ai0
0	3.8763
0.001	3.87449
0.002	3.87696
0.003	3.87828
0.004	3.87696
0.005	3.87729
0.006	3.87943
0.007	3.87597
0.008	3.87811
0.009	3.87811
0.01	3.87663
0.011	3.87416
0.012	3.87712
0.013	3.87515
0.014	3.87548
0.015	3.87696
0.016	3.87712
0.017	3.87646
0.018	3.87465
0.019	3.8758
0.02	3.87762
0.021	3.87696
0.022	3.8763
0.023	3.87712
0.024	3.87531
0.025	3.87778
0.026	3.87613
0.027	3.8763
0.028	3.87366
0.029	3.8763
0.03	3.87745
0.031	3.87646
0.032	3.87811
0.033	3.87663
0.034	3.87778
0.035	3.87465
0.036	3.87646
0.037	3.87482
0.038	3.87548
0.039	3.87449
0.04	3.87795
0.041	3.87828
0.042	3.87828
0.043	3.87679
0.044	3.87679
0.045	3.87383
0.046	3.87729
0.047	3.8763
0.048	3.87663
0.049	3.87597
0.05	3.87317
0.051	3.87663
0.052	3.87877
0.053	3.87646
0.054	3.87597
0.055	3.87778
0.056	3.87778
0.057	3.87515
0.058	3.87663
0.059	3.87548
0.06	3.8758
0.061	3.87712
0.062	3.87646
0.063	3.87531
0.064	3.87646
0.065	3.87696
0.066	3.87613
0.067	3.87893
0.068	3.87646
0.069	3.87663
0.07	3.8758
0.071	3.87597
0.072	3.8735
0.073	3.87613
0.074	3.87564
0.075	3.87795
0.076	3.87696
0.077	3.87515
0.078	3.8763
0.079	3.87515
0.08	3.87531
0.081	3.8763
0.082	3.87482
0.083	3.87646
0.084	3.87597
0.085	3.8763
0.086	3.87811
0.087	3.87893
0.088	3.87416
0.089	3.87399
0.09	3.87399
0.091	3.87597
0.092	3.87465
0.093	3.87564
0.094	3.87613
0.095	3.87399
0.096	3.87597
0.097	3.8758
0.098	3.87778
0.099	3.87696
0.1	3.87729
0.101	3.87597
0.102	3.87696
0.103	3.87811
0.104	3.87564
0.105	3.87531
0.106	3.87795
0.107	3.87828
0.108	3.87844
0.109	3.87613
0.11	3.87745
0.111	3.87795
0.112	3.87663
0.113	3.8758
0.114	3.87696
0.115	3.87613
0.116	3.87613
0.117	3.87778
0.118	3.87515
0.119	3.87844
0.12	3.87515
0.121	3.87811
0.122	3.87696
0.123	3.87399
0.124	3.87696
0.125	3.87762
0.126	3.87564
0.127	3.87712
0.128	3.87646
0.129	3.87745
0.13	3.87712
0.131	3.87646
0.132	3.8763
0.133	3.87515
0.134	3.88009
0.135	3.87548
0.136	3.87745
0.137	3.87515
0.138	3.8758
0.139	3.8758
0.14	3.8791
0.141	3.87729
0.142	3.87811
0.143	3.87762
0.144	3.87564
0.145	3.87729
0.146	3.87515
0.147	3.87613
0.148	3.8758
0.149	3.87646
0.15	3.8758
0.151	3.87465
0.152	3.87778
0.153	3.87432
0.154	3.87548
0.155	3.8758
0.156	3.87613
0.157	3.87613
0.158	3.87432
0.159	3.87646
0.16	3.87613
0.161	3.87762
0.162	3.87383
0.163	3.87712
0.164	3.87811
0.165	3.87795
0.166	3.8786
0.167	3.87564
0.168	3.8758
0.169	3.87399
0.17	3.87745
0.171	3.87366
0.172	3.87663
0.173	3.87646
0.174	3.87646
0.175	3.87795
0.176	3.87762
0.177	3.87597
0.178	3.87762
0.179	3.87762
0.18	3.87663
0.181	3.8758
0.182	3.87564
0.183	3.87366
0.184	3.87646
0.185	3.87416
0.186	3.87465
0.187	3.87976
0.188	3.87646
0.189	3.8763
0.19	3.87482
0.191	3.87531
0.192	3.87498
0.193	3.87498
0.194	3.87795
0.195	3.8763
0.196	3.87432
0.197	3.87696
0.198	3.8763
0.199	3.87811
0.2	3.87548
0.201	3.87482
0.202	3.87613
0.203	3.87531
0.204	3.87498
0.205	3.87663
0.206	3.87811
0.207	3.87679
0.208	3.87597
0.209	3.87679
0.21	3.87597
0.211	3.87795
0.212	3.87449
0.213	3.87383
0.214	3.87498
0.215	3.87712
0.216	3.87432
0.217	3.87564
0.218	3.87729
0.219	3.87844
0.22	3.87548
0.221	3.87745
0.222	3.87482
0.223	3.87515
0.224	3.87663
0.225	3.8786
0.226	3.87646
0.227	3.87893
0.228	3.87679
0.229	3.87696
0.23	3.87548
0.231	3.87795
0.232	3.87778
0.233	3.8763
0.234	3.87416
0.235	3.87795
0.236	3.87597
0.237	3.87564
0.238	3.87778
0.239	3.87515
0.24	3.87465
0.241	3.8786
0.242	3.87778
0.243	3.87893
0.244	3.87745
0.245	3.8758
0.246	3.87663
0.247	3.87745
0.248	3.8758
0.249	3.87531
0.25	3.87745
0.251	3.87613
0.252	3.87696
0.253	3.87959
0.254	3.87663
0.255	3.87482
0.256	3.8763
0.257	3.87366
0.258	3.87696
0.259	3.8758
0.26	3.87762
0.261	3.87762
0.262	3.87663
0.263	3.87646
0.264	3.87811
0.265	3.87778
0.266	3.8763
0.267	3.87877
0.268	3.87828
0.269	3.87762
0.27	3.87613
0.271	3.87729
0.272	3.87399
0.273	3.87613
0.274	3.87762
0.275	3.87646
0.276	3.87893
0.277	3.8763
0.278	3.87729
0.279	3.87613
0.28	3.87482
0.281	3.87564
0.282	3.87597
0.283	3.87679
0.284	3.87712
0.285	3.87482
0.286	3.87515
0.287	3.87482
0.288	3.87548
0.289	3.87498
0.29	3.87712
0.291	3.87548
0.292	3.8758
0.293	3.87663
0.294	3.87564
0.295	3.87515
0.296	3.87564
0.297	3.8758
0.298	3.87416
0.299	3.87515
0.3	3.87482
0.301	3.87745
0.302	3.8763
0.303	3.87548
0.304	3.87745
0.305	3.87729
0.306	3.87646
0.307	3.87811
0.308	3.87778
0.309	3.87564
0.31	3.87745
0.311	3.87548
0.312	3.87712
0.313	3.87515
0.314	3.8758
0.315	3.87729
0.316	3.87597
0.317	3.87646
0.318	3.87943
0.319	3.87795
0.32	3.87778
0.321	3.87729
0.322	3.87729
0.323	3.8786
0.324	3.87646
0.325	3.8758
0.326	3.87679
0.327	3.8758
0.328	3.87729
0.329	3.8786
0.33	3.87778
0.331	3.87531
0.332	3.87531
0.333	3.87548
0.334	3.87548
0.335	3.8786
0.336	3.8758
0.337	3.87712
0.338	3.8758
0.339	3.87564
0.34	3.87679
0.341	3.87828
0.342	3.87679
0.343	3.87564
0.344	3.87515
0.345	3.87251
0.346	3.87828
0.347	3.87712
0.348	3.87449
0.349	3.87646
0.35	3.87844
0.351	3.87597
0.352	3.87778
0.353	3.87745
0.354	3.87696
0.355	3.8786
0.356	3.87663
0.357	3.87663
0.358	3.87646
0.359	3.8763
0.36	3.87531
0.361	3.8758
0.362	3.87646
0.363	3.87712
0.364	3.87696
0.365	3.87482
0.366	3.87795
0.367	3.8758
0.368	3.87795
0.369	3.87482
0.37	3.87515
0.371	3.8758
0.372	3.87498
0.373	3.87646
0.374	3.8758
0.375	3.87811
0.376	3.87778
0.377	3.87762
0.378	3.87597
0.379	3.87646
0.38	3.87696
0.381	3.87778
0.382	3.87778
0.383	3.87696
0.384	3.8758
0.385	3.87663
0.386	3.87646
0.387	3.87515
0.388	3.87679
0.389	3.87712
0.39	3.87548
0.391	3.87613
0.392	3.87745
0.393	3.87548
0.394	3.87498
0.395	3.87646
0.396	3.87844
0.397	3.87531
0.398	3.87893
0.399	3.87597
0.4	3.8758
0.401	3.8758
0.402	3.87696
0.403	3.8758
0.404	3.8735
0.405	3.87597
0.406	3.87745
0.407	3.87811
0.408	3.87844
0.409	3.87712
0.41	3.87416
0.411	3.87515
0.412	3.8786
0.413	3.87597
0.414	3.87515
0.415	3.8758
0.416	3.87762
0.417	3.87597
0.418	3.8758
0.419	3.87515
0.42	3.87795
0.421	3.8763
0.422	3.87613
0.423	3.87317
0.424	3.87646
0.425	3.87399
0.426	3.87844
0.427	3.87729
0.428	3.8758
0.429	3.87531
0.43	3.87778
0.431	3.87778
0.432	3.8763
0.433	3.87498
0.434	3.87531
0.435	3.87564
0.436	3.87712
0.437	3.87482
0.438	3.87663
0.439	3.87745
0.44	3.8763
0.441	3.87795
0.442	3.87548
0.443	3.87976
0.444	3.87548
0.445	3.87663
0.446	3.87597
0.447	3.87696
0.448	3.8758
0.449	3.87679
0.45	3.87712
0.451	3.87745
0.452	3.88009
0.453	3.8763
0.454	3.87564
0.455	3.87515
0.456	3.8763
0.457	3.87515
0.458	3.87597
0.459	3.87778
0.46	3.87811
0.461	3.87564
0.462	3.87712
0.463	3.87679
0.464	3.87745
0.465	3.8786
0.466	3.87729
0.467	3.87515
0.468	3.87383
0.469	3.87712
0.47	3.87646
0.471	3.87646
0.472	3.8763
0.473	3.8763
0.474	3.87729
0.475	3.87745
0.476	3.87828
0.477	3.87729
0.478	3.87811
0.479	3.87663
0.48	3.87729
0.481	3.87679
0.482	3.87679
0.483	3.87712
0.484	3.87663
0.485	3.87844
0.486	3.87762
0.487	3.87795
0.488	3.87399
0.489	3.87679
0.49	3.87482
0.491	3.87564
0.492	3.87482
0.493	3.87531
0.494	3.87745
0.495	3.87333
0.496	3.87828
0.497	3.8758
0.498	3.87745
0.499	3.8763
0.5	4.48274
0.501	4.48225
0.502	4.48225
0.503	4.4834
0.504	4.19517
0.505	4.05072
0.506	4.23782
0.507	4.16453
0.508	3.99489
0.509	3.70056
0.51	3.74552
0.511	3.8567
0.512	3.77155
0.513	3.57077
0.514	3.61129
0.515	3.80795
0.516	3.98402
0.517	4.00691
0.518	3.78934
0.519	3.69562
0.52	3.76199
0.521	3.79905
0.522	3.77698
0.523	3.75145
0.524	3.75079
0.525	3.96211
0.526	4.013
0.527	3.86477
0.528	3.89771
0.529	4.01037
0.53	4.04512
0.531	4.0914
0.532	4.03804
0.533	4.02997
0.534	3.94004
0.535	3.84484
0.536	3.79609
0.537	3.81124
0.538	3.82969
0.539	3.79955
0.54	3.77945
0.541	3.74948
0.542	3.75014
0.543	3.79559
0.544	3.82458
0.545	3.84253
0.546	3.82211
0.547	3.85406
0.548	4.00378
0.549	3.99917
0.55	3.94663
0.551	3.91995
0.552	3.90924
0.553	3.94959
0.554	3.94778
0.555	3.96359
0.556	3.94202
0.557	3.87548
0.558	3.82063
0.559	3.78901
0.56	3.79757
0.561	3.81223
0.562	3.81042
0.563	3.81766
0.564	3.83315
0.565	3.82903
0.566	3.8399
0.567	3.86773
0.568	3.90809
0.569	3.92851
0.57	3.94037
0.571	3.93675
0.572	3.93016
0.573	3.9234
0.574	3.91286
0.575	3.90463
0.576	3.89656
0.577	3.88206
0.578	3.86362
0.579	3.83529
0.58	3.82623
0.581	3.81865
0.582	3.82409
0.583	3.83661
0.584	3.85225
0.585	3.86246
0.586	3.86856
0.587	3.87366
0.588	3.88668
0.589	3.90545
0.59	3.9155
0.591	3.92225
0.592	3.91632
0.593	3.90809
0.594	3.89442
0.595	3.88931
0.596	3.88223
0.597	3.87268
0.598	3.86493
0.599	3.8539
0.6	3.84533
0.601	3.84665
