Time - Dev7/ai0	Amplitude - Dev7/ai0
0.352	3.85225
0.353	3.85011
0.354	3.85341
0.355	3.85341
0.356	3.8511
0.357	3.85472
0.358	3.85308
0.359	3.85077
0.36	3.85291
0.361	3.85126
0.362	3.85143
0.363	3.85275
0.364	3.84929
0.365	3.85357
0.366	3.85209
0.367	3.85126
0.368	3.85357
0.369	3.85159
0.37	3.85044
0.371	3.85373
0.372	3.85225
0.373	3.85472
0.374	3.85406
0.375	3.85308
0.376	3.85308
0.377	3.85126
0.378	3.85176
0.379	3.85209
0.38	3.84978
0.381	3.85604
0.382	3.84962
0.383	3.84962
0.384	3.85225
0.385	3.85291
0.386	3.85341
0.387	3.85225
0.388	3.85341
0.389	3.8511
0.39	3.85011
0.391	3.85324
0.392	3.85225
0.393	3.85489
0.394	3.85489
0.395	3.8511
0.396	3.85406
0.397	3.85275
0.398	3.85126
0.399	3.85159
0.4	3.85242
0.401	3.85308
0.402	3.85093
0.403	3.85308
0.404	3.85192
0.405	3.85061
0.406	3.85291
0.407	3.85159
0.408	3.85209
0.409	3.85176
0.41	3.85126
0.411	3.85242
0.412	3.85126
0.413	3.85324
0.414	3.85324
0.415	3.85192
0.416	3.85044
0.417	3.85373
0.418	3.85341
0.419	3.84863
0.42	3.85011
0.421	3.85225
0.422	3.85077
0.423	3.85044
0.424	3.85143
0.425	3.85489
0.426	3.85093
0.427	3.85126
0.428	3.85143
0.429	3.84978
0.43	3.85077
0.431	3.8511
0.432	3.85439
0.433	3.85373
0.434	3.85505
0.435	3.85258
0.436	3.85489
0.437	3.85341
0.438	3.85275
0.439	3.85077
0.44	3.84797
0.441	3.85308
0.442	3.85209
0.443	3.85159
0.444	3.85291
0.445	3.8539
0.446	3.85093
0.447	3.85308
0.448	3.85093
0.449	3.85011
0.45	3.85225
0.451	3.85159
0.452	3.85126
0.453	3.84945
0.454	3.85308
0.455	3.85406
0.456	3.85044
0.457	3.85275
0.458	3.85291
0.459	3.85044
0.46	3.85077
0.461	3.85077
0.462	3.85159
0.463	3.85093
0.464	3.84896
0.465	3.85357
0.466	3.85275
0.467	3.84978
0.468	3.85225
0.469	3.85308
0.47	3.85209
0.471	3.85093
0.472	3.85044
0.473	3.85209
0.474	3.85242
0.475	3.8511
0.476	3.85061
0.477	3.85291
0.478	3.8511
0.479	3.85275
0.48	3.84978
0.481	3.85341
0.482	3.85308
0.483	3.85061
0.484	3.85077
0.485	3.85143
0.486	3.85275
0.487	3.85209
0.488	3.85044
0.489	3.85341
0.49	3.85176
0.491	3.85324
0.492	3.85275
0.493	3.85258
0.494	3.85126
0.495	3.85308
0.496	3.85011
0.497	3.85456
0.498	3.85406
0.499	3.85093
0.5	3.79378
0.501	3.42765
0.502	3.6663
0.503	3.84649
0.504	3.99851
0.505	4.34455
0.506	4.22498
0.507	3.80745
0.508	3.64357
0.509	3.7503
0.51	3.88915
0.511	3.69611
0.512	3.54113
0.513	3.48793
0.514	3.83068
0.515	4.03771
0.516	3.96343
0.517	3.6607
0.518	3.5627
0.519	3.78489
0.52	3.90084
0.521	3.89853
0.522	3.77105
0.523	3.72082
0.524	3.9822
0.525	4.15152
0.526	4.13423
0.527	3.97183
0.528	3.96211
0.529	3.95914
0.53	3.89178
0.531	3.83693
0.532	3.71868
0.533	3.71077
0.534	3.76694
0.535	3.76463
0.536	3.72741
0.537	3.74898
0.538	3.79246
0.539	3.8814
0.54	3.971
0.541	3.93032
0.542	3.89293
0.543	3.93642
0.544	3.91204
0.545	3.89623
0.546	3.86675
0.547	3.82919
0.548	3.83035
0.549	3.81223
0.55	3.77468
0.551	3.79576
0.552	3.83199
0.553	3.85011
0.554	3.87663
0.555	3.88997
0.556	3.88355
0.557	3.87515
0.558	3.85769
0.559	3.84204
0.56	3.84896
0.561	3.85489
0.562	3.84583
0.563	3.84896
0.564	3.85966
0.565	3.85341
0.566	3.85209
0.567	3.85044
0.568	3.84599
0.569	3.85308
0.57	3.84583
0.571	3.83957
0.572	3.84023
0.573	3.84105
0.574	3.84583
0.575	3.84962
0.576	3.86032
0.577	3.86955
0.578	3.87383
0.579	3.87366
0.58	3.86477
0.581	3.86181
0.582	3.85011
0.583	3.83677
0.584	3.83446
0.585	3.83051
0.586	3.83183
0.587	3.84138
0.588	3.84089
0.589	3.8483
0.59	3.86279
0.591	3.86543
0.592	3.87119
0.593	3.8707
0.594	3.86856
0.595	3.86526
0.596	3.85818
0.597	3.84451
0.598	3.84023
0.599	3.83693
0.6	3.8343
0.601	3.84039
0.602	3.84484
0.603	3.84846
0.604	3.85192
0.605	3.85835
0.606	3.85999
0.607	3.86872
0.608	3.86164
0.609	3.84945
0.61	3.8455
0.611	3.85489
0.612	3.85983
0.613	3.85406
0.614	3.84698
0.615	3.85291
0.616	3.86164
0.617	3.85901
0.618	3.85159
0.619	3.84731
0.62	3.85176
0.621	3.84945
0.622	3.84599
0.623	3.8511
0.624	3.85637
0.625	3.85933
0.626	3.85341
0.627	3.84846
0.628	3.85159
0.629	3.85126
0.63	3.84929
0.631	3.85143
0.632	3.85275
0.633	3.85406
0.634	3.85357
0.635	3.85044
0.636	3.84781
0.637	3.85291
0.638	3.85341
0.639	3.85176
0.64	3.85472
0.641	3.85489
0.642	3.85275
0.643	3.84879
0.644	3.84929
0.645	3.85077
0.646	3.84879
0.647	3.84863
0.648	3.85176
0.649	3.84995
0.65	3.85159
0.651	3.8511
0.652	3.84698
0.653	3.85423
0.654	3.85192
0.655	3.84912
0.656	3.85571
0.657	3.85406
0.658	3.85522
0.659	3.85538
0.66	3.85522
0.661	3.85686
0.662	3.85571
0.663	3.85291
0.664	3.85719
0.665	3.85011
0.666	3.85077
0.667	3.84912
0.668	3.84616
0.669	3.84616
0.67	3.84698
0.671	3.84402
0.672	3.8483
0.673	3.85028
0.674	3.85192
0.675	3.85373
0.676	3.8567
0.677	3.85505
0.678	3.85917
0.679	3.85522
0.68	3.85357
0.681	3.85686
0.682	3.85093
0.683	3.85423
0.684	3.84879
0.685	3.84715
0.686	3.84962
0.687	3.84863
0.688	3.84846
0.689	3.85159
0.69	3.8567
0.691	3.85538
0.692	3.84748
0.693	3.85011
0.694	3.85621
0.695	3.86428
0.696	3.85966
0.697	3.85472
0.698	3.85522
0.699	3.85637
0.7	3.85571
0.701	3.85176
0.702	3.84813
0.703	3.84863
0.704	3.8455
0.705	3.84237
0.706	3.84929
0.707	3.85439
0.708	3.85341
0.709	3.85752
0.71	3.85439
0.711	3.85472
0.712	3.85555
0.713	3.85176
0.714	3.85275
0.715	3.85077
0.716	3.85291
0.717	3.85209
0.718	3.84978
0.719	3.85061
0.72	3.84995
0.721	3.85011
0.722	3.85176
0.723	3.85308
0.724	3.85406
0.725	3.84846
0.726	3.85044
0.727	3.85308
0.728	3.85093
0.729	3.85225
0.73	3.84945
0.731	3.85291
0.732	3.85621
0.733	3.85769
0.734	3.85621
0.735	3.85522
0.736	3.85703
0.737	3.85423
0.738	3.85077
0.739	3.85077
0.74	4.0438
0.741	4.45523
0.742	4.45606
0.743	4.20357
0.744	4.08893
0.745	3.94745
0.746	3.97265
0.747	4.06423
0.748	3.81091
0.749	3.60256
0.75	3.84879
0.751	3.86691
0.752	3.67964
0.753	3.63023
0.754	3.63896
0.755	3.76298
0.756	3.92736
0.757	3.94729
0.758	3.83611
0.759	3.76512
0.76	3.82409
0.761	3.79658
0.762	3.90825
0.763	3.88124
0.764	3.89409
0.765	4.00592
0.766	4.0051
0.767	3.90595
0.768	3.86378
0.769	3.86675
0.77	3.89129
0.771	3.82853
0.772	3.75854
0.773	3.72774
0.774	3.77138
0.775	3.82442
0.776	3.81322
0.777	3.80202
0.778	3.87037
0.779	3.92044
0.78	3.8959
0.781	3.94136
0.782	3.91599
0.783	3.86856
0.784	3.85588
0.785	3.82903
0.786	3.80086
0.787	3.80679
0.788	3.78736
0.789	3.79741
0.79	3.85077
0.791	3.86708
0.792	3.87136
0.793	3.88618
0.794	3.87712
0.795	3.8819
0.796	3.87119
0.797	3.85439
0.798	3.85093
0.799	3.85423
0.8	3.84303
0.801	3.83792
0.802	3.84221
0.803	3.84023
0.804	3.84253
0.805	3.8483
0.806	3.84945
0.807	3.85983
0.808	3.86065
0.809	3.85406
0.81	3.84632
0.811	3.84912
0.812	3.85077
0.813	3.84978
0.814	3.85209
0.815	3.85769
0.816	3.85802
0.817	3.85802
0.818	3.85373
0.819	3.85373
0.82	3.85176
0.821	3.84929
0.822	3.84517
0.823	3.85044
0.824	3.85736
0.825	3.84138
0.826	3.83644
0.827	3.85373
0.828	3.86889
0.829	3.87169
0.83	3.85802
0.831	3.85044
0.832	3.86213
0.833	3.86576
0.834	3.85472
0.835	3.84451
0.836	3.84089
0.837	3.8455
0.838	3.84155
0.839	3.84319
0.84	3.85011
0.841	3.85489
0.842	3.85489
0.843	3.85192
0.844	3.8511
0.845	3.85752
0.846	3.85901
0.847	3.85538
0.848	3.85637
0.849	3.85373
0.85	3.84995
0.851	3.84945
0.852	3.84649
0.853	3.84649
0.854	3.8567
0.855	3.85423
0.856	3.85176
0.857	3.85571
0.858	3.85456
0.859	3.85176
0.86	3.85077
0.861	3.85028
0.862	3.8483
0.863	3.85044
0.864	3.85044
0.865	3.85324
0.866	3.85275
0.867	3.8539
0.868	3.85143
0.869	3.85505
0.87	3.85604
0.871	3.85077
0.872	3.85439
0.873	3.85176
0.874	3.84863
0.875	3.8511
0.876	3.84781
0.877	3.84995
0.878	3.85357
0.879	3.85439
0.88	3.85159
0.881	3.85275
0.882	3.85291
0.883	3.84879
0.884	3.85192
0.885	3.85061
0.886	3.85143
0.887	3.85456
