Time - Dev7/ai0	Amplitude - Dev7/ai0
0	3.85752
0.001	3.85736
0.002	3.85505
0.003	3.85686
0.004	3.85653
0.005	3.85472
0.006	3.85489
0.007	3.85719
0.008	3.8567
0.009	3.85933
0.01	3.85686
0.011	3.85901
0.012	3.85653
0.013	3.85703
0.014	3.85719
0.015	3.85588
0.016	3.85489
0.017	3.85901
0.018	3.85703
0.019	3.85472
0.02	3.85604
0.021	3.85489
0.022	3.85588
0.023	3.85489
0.024	3.85621
0.025	3.85538
0.026	3.85571
0.027	3.85736
0.028	3.85686
0.029	3.85555
0.03	3.85769
0.031	3.85653
0.032	3.85835
0.033	3.8567
0.034	3.85637
0.035	3.85736
0.036	3.85505
0.037	3.85835
0.038	3.85703
0.039	3.85686
0.04	3.85703
0.041	3.85653
0.042	3.85621
0.043	3.85719
0.044	3.85719
0.045	3.85653
0.046	3.85818
0.047	3.85884
0.048	3.85901
0.049	3.85703
0.05	3.85456
0.051	3.85719
0.052	3.85818
0.053	3.85769
0.054	3.85489
0.055	3.85719
0.056	3.85703
0.057	3.85868
0.058	3.85505
0.059	3.85653
0.06	3.85752
0.061	3.85703
0.062	3.85719
0.063	3.85538
0.064	3.85505
0.065	3.85588
0.066	3.85621
0.067	3.86032
0.068	3.85555
0.069	3.85884
0.07	3.85769
0.071	3.85933
0.072	3.85835
0.073	3.85719
0.074	3.85752
0.075	3.85703
0.076	3.85621
0.077	3.85769
0.078	3.85538
0.079	3.85538
0.08	3.85505
0.081	3.85505
0.082	3.85489
0.083	3.85555
0.084	3.85423
0.085	3.85653
0.086	3.85736
0.087	3.85818
0.088	3.85538
0.089	3.85686
0.09	3.85752
0.091	3.85736
0.092	3.85818
0.093	3.85555
0.094	3.85439
0.095	3.85538
0.096	3.85769
0.097	3.85538
0.098	3.85621
0.099	3.8567
0.1	3.85571
0.101	3.85604
0.102	3.85917
0.103	3.85752
0.104	3.85555
0.105	3.85736
0.106	3.85719
0.107	3.85686
0.108	3.85802
0.109	3.85604
0.11	3.85966
0.111	3.85637
0.112	3.85719
0.113	3.85835
0.114	3.85686
0.115	3.85291
0.116	3.85423
0.117	3.85324
0.118	3.85538
0.119	3.85933
0.12	3.8567
0.121	3.85802
0.122	3.85637
0.123	3.85653
0.124	3.85472
0.125	3.85752
0.126	3.86016
0.127	3.85769
0.128	3.85769
0.129	3.85835
0.13	3.85999
0.131	3.85884
0.132	3.85901
0.133	3.85719
0.134	3.85604
0.135	3.85588
0.136	3.8567
0.137	3.85456
0.138	3.85489
0.139	3.85604
0.14	3.85802
0.141	3.85604
0.142	3.85423
0.143	3.85719
0.144	3.85604
0.145	3.85835
0.146	3.85752
0.147	3.8567
0.148	3.85604
0.149	3.85719
0.15	3.85736
0.151	3.85703
0.152	3.85637
0.153	3.85653
0.154	3.85538
0.155	3.85637
0.156	3.85868
0.157	3.85472
0.158	3.85818
0.159	3.85637
0.16	3.85736
0.161	3.85357
0.162	3.85604
0.163	3.85538
0.164	3.85555
0.165	3.85538
0.166	3.85555
0.167	3.85868
0.168	3.85719
0.169	3.85555
0.17	3.8595
0.171	3.85884
0.172	3.85752
0.173	3.85736
0.174	3.85785
0.175	3.85703
0.176	3.85555
0.177	3.85752
0.178	3.85802
0.179	3.85555
0.18	3.85588
0.181	3.85653
0.182	3.85588
0.183	3.85604
0.184	3.85621
0.185	3.85406
0.186	3.85719
0.187	3.85884
0.188	3.85835
0.189	3.85456
0.19	3.8567
0.191	3.85736
0.192	3.85818
0.193	3.85456
0.194	3.85653
0.195	3.85785
0.196	3.85439
0.197	3.85406
0.198	3.85835
0.199	3.85686
0.2	3.86016
0.201	3.85769
0.202	3.85588
0.203	3.85736
0.204	3.85769
0.205	3.85703
0.206	3.85719
0.207	3.85621
0.208	3.85818
0.209	3.85999
0.21	3.85752
0.211	3.85637
0.212	3.85703
0.213	3.85621
0.214	3.85719
0.215	3.85538
0.216	3.85522
0.217	3.85703
0.218	3.85653
0.219	3.85571
0.22	3.85472
0.221	3.85835
0.222	3.85818
0.223	3.85555
0.224	3.85703
0.225	3.85621
0.226	3.85736
0.227	3.85637
0.228	3.85703
0.229	3.85637
0.23	3.85637
0.231	3.85637
0.232	3.85538
0.233	3.85719
0.234	3.85752
0.235	3.85983
0.236	3.85621
0.237	3.85785
0.238	3.85621
0.239	3.85719
0.24	3.85703
0.241	3.85769
0.242	3.85736
0.243	3.85851
0.244	3.85802
0.245	3.85752
0.246	3.85785
0.247	3.85983
0.248	3.85604
0.249	3.8567
0.25	3.85999
0.251	3.85604
0.252	3.85785
0.253	3.85604
0.254	3.85653
0.255	3.85769
0.256	3.85736
0.257	3.85736
0.258	3.85522
0.259	3.85818
0.26	3.85802
0.261	3.85538
0.262	3.85621
0.263	3.85653
0.264	3.85703
0.265	3.85884
0.266	3.8595
0.267	3.85439
0.268	3.85835
0.269	3.85752
0.27	3.85752
0.271	3.85505
0.272	3.85538
0.273	3.85769
0.274	3.85769
0.275	3.85571
0.276	3.85686
0.277	3.85835
0.278	3.85456
0.279	3.85571
0.28	3.85686
0.281	3.85604
0.282	3.85604
0.283	3.8567
0.284	3.85571
0.285	3.85769
0.286	3.85752
0.287	3.85719
0.288	3.85884
0.289	3.85752
0.29	3.85505
0.291	3.85736
0.292	3.8567
0.293	3.85802
0.294	3.85917
0.295	3.85884
0.296	3.85621
0.297	3.85736
0.298	3.85653
0.299	3.85472
0.3	3.8567
0.301	3.85406
0.302	3.85406
0.303	3.85736
0.304	3.85489
0.305	3.85719
0.306	3.85835
0.307	3.85736
0.308	3.85818
0.309	3.85785
0.31	3.85818
0.311	3.85472
0.312	3.85653
0.313	3.8567
0.314	3.85851
0.315	3.85703
0.316	3.85423
0.317	3.85719
0.318	3.85752
0.319	3.85637
0.32	3.85802
0.321	3.85868
0.322	3.85555
0.323	3.8567
0.324	3.85604
0.325	3.85736
0.326	3.85818
0.327	3.85802
0.328	3.85653
0.329	3.8567
0.33	3.85653
0.331	3.85769
0.332	3.85571
0.333	3.85653
0.334	3.85505
0.335	3.85785
0.336	3.8567
0.337	3.85406
0.338	3.85571
0.339	3.85851
0.34	3.85423
0.341	3.85752
0.342	3.85686
0.343	3.85538
0.344	3.85719
0.345	3.85588
0.346	3.8567
0.347	3.85555
0.348	3.85588
0.349	3.85571
0.35	3.8567
0.351	3.85901
0.352	3.85802
0.353	3.85621
0.354	3.85736
0.355	3.85604
0.356	3.85851
0.357	3.85752
0.358	3.8567
0.359	3.85818
0.36	3.85621
0.361	3.85785
0.362	3.85752
0.363	3.85621
0.364	3.8567
0.365	3.85901
0.366	3.85769
0.367	3.85851
0.368	3.85621
0.369	3.85752
0.37	3.85835
0.371	3.85835
0.372	3.85802
0.373	3.8567
0.374	3.85736
0.375	3.85736
0.376	3.85868
0.377	3.85604
0.378	3.85621
0.379	3.85653
0.38	3.85357
0.381	3.85785
0.382	3.85686
0.383	3.85637
0.384	3.85719
0.385	3.85406
0.386	3.85472
0.387	3.85604
0.388	3.85588
0.389	3.85752
0.39	3.85588
0.391	3.85522
0.392	3.85983
0.393	3.85456
0.394	3.85752
0.395	3.86049
0.396	3.85719
0.397	3.85752
0.398	3.85851
0.399	3.85785
0.4	3.85637
0.401	3.85703
0.402	3.85588
0.403	3.85489
0.404	3.85736
0.405	3.85785
0.406	3.85588
0.407	3.8567
0.408	3.85555
0.409	3.85588
0.41	3.85555
0.411	3.85555
0.412	3.85802
0.413	3.85719
0.414	3.85555
0.415	3.8595
0.416	3.8567
0.417	3.85621
0.418	3.85653
0.419	3.85752
0.42	3.85472
0.421	3.85686
0.422	3.85621
0.423	3.85571
0.424	3.85324
0.425	3.85868
0.426	3.85769
0.427	3.8595
0.428	3.85785
0.429	3.85868
0.43	3.85604
0.431	3.85917
0.432	3.86032
0.433	3.85522
0.434	3.85917
0.435	3.85719
0.436	3.85686
0.437	3.8567
0.438	3.85736
0.439	3.85588
0.44	3.85439
0.441	3.85505
0.442	3.85538
0.443	3.85835
0.444	3.85588
0.445	3.85736
0.446	3.85752
0.447	3.85604
0.448	3.85785
0.449	3.85604
0.45	3.85999
0.451	3.85851
0.452	3.85966
0.453	3.85604
0.454	3.85785
0.455	3.85851
