1,687416E+0
1,687581E+0
1,687745E+0
3,874353E+0
1,687745E+0
1,688239E+0
3,842277E+0
1,688074E+0
1,688239E+0
3,800660E+0
1,687416E+0
1,687252E+0
3,870734E+0
1,688074E+0
1,688074E+0
3,841619E+0
1,688074E+0
1,687910E+0
4,354351E+0
1,687581E+0
1,687416E+0
1,978896E+0
1,688568E+0
1,687252E+0
1,703372E+0
1,688897E+0
1,687910E+0
1,699589E+0
1,688074E+0
1,687581E+0
1,974784E+0
1,688239E+0
1,688239E+0
1,787427E+0
1,687910E+0
1,688403E+0
1,699918E+0
1,689061E+0
1,687910E+0
1,698931E+0
1,689061E+0
1,687416E+0
1,691529E+0
1,693667E+0
1,688074E+0
1,699424E+0
1,688568E+0
1,688897E+0
1,699424E+0
1,689061E+0
1,687745E+0
1,699095E+0
1,689390E+0
1,687910E+0
1,694160E+0
1,702550E+0
1,688568E+0
1,691858E+0
2,710723E+0
1,687910E+0
1,687910E+0
3,760523E+0
1,687910E+0
1,687910E+0
3,855601E+0
1,687745E+0
1,688074E+0
3,384324E+0
1,687581E+0
1,691693E+0
1,693502E+0
1,687745E+0
1,697121E+0
1,690871E+0
1,688239E+0
1,694654E+0
1,699260E+0
1,688239E+0
1,689390E+0
2,622391E+0
1,687745E+0
1,688074E+0
3,264244E+0
1,687581E+0
1,687910E+0
3,828788E+0
1,687745E+0
1,688239E+0
3,628269E+0
1,687416E+0
1,687087E+0
2,579458E+0
1,687745E+0
1,688732E+0
1,689226E+0
1,687581E+0
1,692022E+0
1,714722E+0
1,687745E+0
1,690213E+0
