 Time (s)	Period	Pulse duration	Duty cycle
4.299900E+4	1.023651E-3	2.396930E-4	2.341549E-1
4.350000E+4	1.023107E-3	1.241020E-4	1.212992E-1
4.399900E+4	1.023854E-3	6.391650E-5	6.242734E-2
4.450000E+4	1.023814E-3	7.695454E-5	7.516457E-2
4.499900E+4	1.024122E-3	1.479459E-4	1.444613E-1
4.549900E+4	1.021802E-3	2.813290E-4	2.753264E-1
4.600000E+4	1.023881E-3	4.477088E-4	4.372664E-1
4.649900E+4	1.023749E-3	6.353388E-4	6.206005E-1
4.700000E+4	1.023054E-3	7.912288E-4	7.733990E-1
4.750000E+4	1.023784E-3	9.069040E-4	8.858356E-1
4.799900E+4	1.022602E-3	9.738725E-4	9.523477E-1
4.849900E+4	1.021855E-3	9.658407E-4	9.451835E-1
4.899900E+4	1.023889E-3	8.919415E-4	8.711308E-1
4.949900E+4	1.023692E-3	7.677909E-4	7.500215E-1
