Time - Dev5/ai0	Amplitude - Dev5/ai0
0.167	1.50276
0.1675	1.50424
0.168	1.50309
0.1685	1.50342
0.169	1.5026
0.1695	1.50309
0.17	1.50227
0.1705	1.50408
0.171	1.5021
0.1715	1.50441
0.172	1.50342
0.1725	1.50326
0.173	1.50638
0.1735	1.50424
0.174	1.50046
0.1745	1.50178
0.175	1.50605
0.1755	1.50589
0.176	1.50572
0.1765	1.50589
0.177	1.50293
0.1775	1.50276
0.178	1.50539
0.1785	1.50589
0.179	1.50342
0.1795	1.50375
0.18	1.50474
0.1805	1.50342
0.181	1.50391
0.1815	1.50062
0.182	1.50161
0.1825	1.50358
0.183	1.5021
0.1835	1.50391
0.184	1.50178
0.1845	1.50227
0.185	1.49898
0.1855	1.50112
0.186	1.50276
0.1865	1.50227
0.187	1.50408
0.1875	1.50227
0.188	1.50309
0.1885	1.50424
0.189	1.50276
0.1895	1.50227
0.19	1.50457
0.1905	1.50424
0.191	1.50342
0.1915	1.50276
0.192	1.50474
0.1925	1.50375
0.193	1.5049
0.1935	1.50786
0.194	1.50457
0.1945	1.5026
0.195	1.50441
0.1955	1.50095
0.196	1.50326
0.1965	1.50326
0.197	1.50424
0.1975	1.50375
0.198	1.50375
0.1985	1.5026
0.199	1.50457
0.1995	1.50309
0.2	1.50227
0.2005	1.50128
0.201	1.50441
0.2015	1.50424
0.202	1.5021
0.2025	1.50227
0.203	1.50227
0.2035	1.50194
0.204	1.50227
0.2045	1.50457
0.205	1.50457
0.2055	1.50293
0.206	1.5026
0.2065	1.5021
0.207	1.50457
0.2075	1.50227
0.208	1.50342
0.2085	1.50375
0.209	1.50408
0.2095	1.50523
0.21	1.50358
0.2105	1.50474
0.211	1.50408
0.2115	1.50474
0.212	1.50227
0.2125	1.50293
0.213	1.50572
0.2135	1.50128
0.214	1.50391
0.2145	1.50737
0.215	1.50654
0.2155	1.50671
0.216	1.50556
0.2165	1.50326
0.217	1.5021
0.2175	1.50293
0.218	1.50457
0.2185	1.50342
0.219	1.50391
0.2195	1.5026
0.22	1.50309
0.2205	1.50358
0.221	1.50391
0.2215	1.50194
0.222	1.50128
0.2225	1.50326
0.223	1.50342
0.2235	1.5026
0.224	1.50112
0.2245	1.50276
0.225	1.5026
0.2255	1.50293
0.226	1.50391
0.2265	1.5003
0.227	1.50326
0.2275	1.5026
0.228	1.50326
0.2285	1.50457
0.229	1.5026
0.2295	1.50457
0.23	1.50326
0.2305	1.50539
0.231	1.50539
0.2315	1.5049
0.232	1.50358
0.2325	1.50474
0.233	1.50424
0.2335	1.50622
0.234	1.50326
0.2345	1.50128
0.235	1.50095
0.2355	1.50391
0.236	1.50457
0.2365	1.50293
0.237	1.50424
0.2375	1.50342
0.238	1.50457
0.2385	1.50326
0.239	1.5021
0.2395	1.5021
0.24	1.50194
0.2405	1.50178
0.241	1.50391
0.2415	1.50424
0.242	1.50161
0.2425	1.5026
0.243	1.50178
0.2435	1.50046
0.244	1.50293
0.2445	1.50391
0.245	1.50474
0.2455	1.50474
0.246	1.50309
0.2465	1.5021
0.247	1.50358
0.2475	1.50358
0.248	1.50358
0.2485	1.50309
0.249	1.50457
0.2495	1.50424
0.25	1.50408
0.2505	1.50326
0.251	1.5026
0.2515	1.50408
0.252	1.50309
0.2525	1.50375
0.253	1.5049
0.2535	1.50013
0.254	1.50079
0.2545	1.50457
0.255	1.50309
0.2555	1.50309
0.256	1.50358
0.2565	1.50309
0.257	1.50474
0.2575	1.50227
0.258	1.5021
0.2585	1.50556
0.259	1.50342
0.2595	1.50375
0.26	1.5026
0.2605	1.50276
