Time - Dev5/ai0	Amplitude - Dev5/ai0
0	1.5151
0.001	1.51411
0.002	1.51197
0.003	1.51395
0.004	1.51625
0.005	1.51592
0.006	1.51362
0.007	1.51543
0.008	1.51526
0.009	1.5146
0.01	1.51345
0.011	1.51263
0.012	1.51625
0.013	1.51427
0.014	1.51296
0.015	1.5151
0.016	1.51345
0.017	1.51427
0.018	1.5151
0.019	1.51312
0.02	1.51362
0.021	1.51263
0.022	1.51559
0.023	1.51559
0.024	1.5123
0.025	1.51526
0.026	1.51214
0.027	1.51411
0.028	1.51395
0.029	1.51493
0.03	1.51296
0.031	1.51263
0.032	1.5123
0.033	1.5146
0.034	1.51575
0.035	1.51362
0.036	1.51411
0.037	1.51263
0.038	1.51279
0.039	1.51279
0.04	1.51362
0.041	1.5146
0.042	1.51296
0.043	1.51329
0.044	1.51115
0.045	1.51312
0.046	1.5151
0.047	1.51493
0.048	1.51378
0.049	1.51329
0.05	1.51049
0.051	1.5146
0.052	1.51329
0.053	1.51362
0.054	1.51444
0.055	1.51296
0.056	1.51543
0.057	1.51444
0.058	1.51559
0.059	1.51378
0.06	1.51395
0.061	1.51526
0.062	1.51263
0.063	1.51312
0.064	1.51526
0.065	1.51608
0.066	1.51658
0.067	1.51526
0.068	1.51378
0.069	1.51575
0.07	1.51559
0.071	1.51247
0.072	1.51592
0.073	1.51345
0.074	1.51427
0.075	1.5146
0.076	1.51362
0.077	1.5151
0.078	1.51592
0.079	1.51378
0.08	1.51362
0.081	1.51378
0.082	1.5151
0.083	1.51395
0.084	1.51691
0.085	1.50934
0.086	1.51411
0.087	1.51197
0.088	1.51444
0.089	1.51427
0.09	1.51312
0.091	1.51411
0.092	1.51296
0.093	1.51345
0.094	1.51395
0.095	1.51329
0.096	1.51427
0.097	1.51592
0.098	1.51559
0.099	1.51378
0.1	1.5146
0.101	1.5146
0.102	1.51279
0.103	1.51477
0.104	1.51411
0.105	1.51115
0.106	1.51543
0.107	1.51575
0.108	1.51477
0.109	1.51411
0.11	1.51395
0.111	1.51279
0.112	1.5146
0.113	1.51427
0.114	1.5123
0.115	1.51559
0.116	1.51608
0.117	1.51329
0.118	1.51477
0.119	1.51378
0.12	1.51378
0.121	1.51411
0.122	1.51543
0.123	1.51526
0.124	1.51691
0.125	1.50983
0.126	1.51214
0.127	1.51279
0.128	1.51559
0.129	1.51444
0.13	1.51592
0.131	1.51575
0.132	1.51296
0.133	1.51559
0.134	1.51345
0.135	1.51329
0.136	1.51559
0.137	1.51411
0.138	1.5151
0.139	1.51329
0.14	1.5146
0.141	1.51329
0.142	1.51608
0.143	1.51395
0.144	1.51131
0.145	1.51707
0.146	1.51329
0.147	1.51312
0.148	1.51575
0.149	1.5151
0.15	1.51345
0.151	1.51312
0.152	1.51263
0.153	1.5146
0.154	1.51329
0.155	1.51312
0.156	1.51395
0.157	1.5123
0.158	1.51477
0.159	1.5146
0.16	1.51477
0.161	1.51362
0.162	1.51312
0.163	1.51493
0.164	1.51608
0.165	1.51806
0.166	1.51575
0.167	1.51477
0.168	1.51362
0.169	1.51559
0.17	1.51477
0.171	1.51411
0.172	1.51362
0.173	1.51247
0.174	1.51378
0.175	1.51362
0.176	1.51543
0.177	1.51345
0.178	1.5146
0.179	1.51526
0.18	1.51427
0.181	1.51279
0.182	1.51362
0.183	1.51427
0.184	1.51247
0.185	1.51806
0.186	1.51411
0.187	1.51279
0.188	1.5146
0.189	1.51575
0.19	1.51345
0.191	1.51411
0.192	1.51411
0.193	1.51411
0.194	1.51658
0.195	1.51312
0.196	1.51395
0.197	1.51329
0.198	1.51543
0.199	1.51477
0.2	1.51362
0.201	1.5146
0.202	1.51427
0.203	1.51164
0.204	1.51608
0.205	1.51773
0.206	1.51543
0.207	1.51296
0.208	1.51279
0.209	1.51493
0.21	1.51411
0.211	1.51773
0.212	1.51526
0.213	1.51543
0.214	1.51312
0.215	1.51526
0.216	1.51181
0.217	1.51362
0.218	1.51378
0.219	1.51214
0.22	1.51312
0.221	1.51378
0.222	1.51444
0.223	1.51345
0.224	1.51279
0.225	1.50901
0.226	1.51493
0.227	1.5146
0.228	1.51543
0.229	1.51493
0.23	1.51395
0.231	1.51362
0.232	1.51214
0.233	1.51378
0.234	1.51345
0.235	1.51575
0.236	1.51411
0.237	1.51526
0.238	1.51362
0.239	1.51477
0.24	1.51279
0.241	1.51395
0.242	1.51329
0.243	1.51444
0.244	1.5146
0.245	1.51954
0.246	1.51526
0.247	1.51444
0.248	1.51395
0.249	1.51625
0.25	1.51559
0.251	1.51296
0.252	1.51444
0.253	1.51378
0.254	1.51362
0.255	1.51263
0.256	1.51493
0.257	1.51493
0.258	1.51378
0.259	1.51312
0.26	1.51427
0.261	1.51345
0.262	1.5123
0.263	1.51378
0.264	1.51477
0.265	1.5146
0.266	1.51789
0.267	1.51395
0.268	1.51263
0.269	1.51378
0.27	1.51608
0.271	1.51543
0.272	1.5151
0.273	1.51164
0.274	1.51362
0.275	1.51378
0.276	1.51658
0.277	1.51477
0.278	1.51641
0.279	1.51345
0.28	1.51411
0.281	1.51477
0.282	1.51345
0.283	1.51296
0.284	1.51263
0.285	1.51247
0.286	1.51362
0.287	1.51312
0.288	1.51543
0.289	1.51411
0.29	1.51362
0.291	1.51411
0.292	1.5123
0.293	1.51362
0.294	1.5151
0.295	1.51477
0.296	1.51362
0.297	1.51411
0.298	1.51312
0.299	1.51444
0.3	1.51378
0.301	1.51345
0.302	1.51362
0.303	1.51148
0.304	1.51247
0.305	1.51033
0.306	1.51427
0.307	1.51279
0.308	1.51477
0.309	1.51444
0.31	1.51279
0.311	1.51444
0.312	1.51427
0.313	1.51559
0.314	1.51543
0.315	1.5123
0.316	1.51411
0.317	1.51559
0.318	1.51608
0.319	1.51477
0.32	1.51181
0.321	1.51477
0.322	1.51477
0.323	1.51263
0.324	1.51296
0.325	1.51411
0.326	1.51477
0.327	1.51345
0.328	1.51329
0.329	1.51444
0.33	1.51395
0.331	1.51312
0.332	1.51329
0.333	1.51444
0.334	1.51378
0.335	1.51543
0.336	1.51444
0.337	1.51279
0.338	1.51592
0.339	1.51362
0.34	1.51181
0.341	1.51378
0.342	1.5123
0.343	1.51427
0.344	1.51592
0.345	1.51921
0.346	1.51427
0.347	1.51263
0.348	1.51296
0.349	1.51395
0.35	1.51526
0.351	1.51181
0.352	1.51312
0.353	1.5123
0.354	1.51427
0.355	1.51329
0.356	1.5123
0.357	1.51214
0.358	1.51345
0.359	1.51214
0.36	1.51329
0.361	1.51247
0.362	1.51214
0.363	1.5146
0.364	1.5151
0.365	1.50983
0.366	1.51543
0.367	1.51279
0.368	1.51526
0.369	1.51674
0.37	1.51526
0.371	1.51806
0.372	1.52102
0.373	1.5225
0.374	1.52299
0.375	1.52381
0.376	1.52529
0.377	1.52496
0.378	1.5271
0.379	1.52941
0.38	1.52891
0.381	1.53154
0.382	1.53269
0.383	1.53582
0.384	1.53483
0.385	1.53006
0.386	1.53648
0.387	1.54026
0.388	1.54207
0.389	1.54306
0.39	1.54931
0.391	1.55556
0.392	1.55769
0.393	1.56065
0.394	1.56329
0.395	1.56526
0.396	1.56625
0.397	1.56394
0.398	1.56427
0.399	1.56394
0.4	1.56641
0.401	1.56329
0.402	1.5623
0.403	1.56
0.404	1.56131
0.405	1.56263
0.406	1.56
0.407	1.55934
0.408	1.56164
0.409	1.56263
0.41	1.55917
0.411	1.55967
0.412	1.56213
0.413	1.56279
0.414	1.56279
0.415	1.56263
0.416	1.56065
0.417	1.56016
0.418	1.55967
0.419	1.55884
0.42	1.56082
0.421	1.55901
0.422	1.56065
0.423	1.56032
0.424	1.56181
0.425	1.56131
0.426	1.56444
0.427	1.56542
0.428	1.5674
0.429	1.56937
0.43	1.56953
0.431	1.57134
0.432	1.57266
0.433	1.57578
0.434	1.57447
0.435	1.57529
0.436	1.57677
0.437	1.57874
0.438	1.5799
0.439	1.58236
0.44	1.58319
0.441	1.58598
0.442	1.5868
0.443	1.58944
0.444	1.59075
0.445	1.59124
0.446	1.59568
0.447	1.59716
0.448	1.59848
0.449	1.60177
0.45	1.60243
0.451	1.60391
0.452	1.60506
0.453	1.60687
0.454	1.60868
0.455	1.61016
0.456	1.61131
0.457	1.61328
0.458	1.61739
0.459	1.62101
0.46	1.62266
0.461	1.62331
0.462	1.62628
0.463	1.62693
0.464	1.62841
0.465	1.63121
0.466	1.63483
0.467	1.63631
0.468	1.63614
0.469	1.63877
0.47	1.63861
0.471	1.64124
0.472	1.6442
0.473	1.64585
0.474	1.64733
0.475	1.64815
0.476	1.65045
0.477	1.65193
0.478	1.65489
0.479	1.65637
0.48	1.65736
0.481	1.65917
0.482	1.66098
0.483	1.66147
0.484	1.66427
0.485	1.66492
0.486	1.66229
0.487	1.66443
0.488	1.6641
0.489	1.66476
0.49	1.66509
0.491	1.6664
0.492	1.6669
0.493	1.66706
0.494	1.66591
0.495	1.66575
0.496	1.66723
0.497	1.66904
0.498	1.66772
0.499	1.6692
0.5	1.66936
0.501	1.6692
0.502	1.66904
0.503	1.67002
0.504	1.66657
0.505	1.67167
0.506	1.672
0.507	1.67068
0.508	1.67265
0.509	1.67167
0.51	1.67249
0.511	1.67052
0.512	1.67183
0.513	1.67282
0.514	1.67233
0.515	1.67282
0.516	1.67529
0.517	1.67216
0.518	1.67627
0.519	1.67496
0.52	1.67512
0.521	1.67512
0.522	1.67496
0.523	1.67496
0.524	1.67874
0.525	1.67956
0.526	1.67726
0.527	1.6766
0.528	1.67759
0.529	1.67726
0.53	1.67841
0.531	1.67742
0.532	1.67857
0.533	1.67808
0.534	1.67973
0.535	1.67956
0.536	1.67956
0.537	1.68088
0.538	1.68219
0.539	1.68186
0.54	1.68121
0.541	1.67989
0.542	1.68285
0.543	1.68186
0.544	1.68104
0.545	1.6891
0.546	1.68252
0.547	1.68417
0.548	1.684
0.549	1.68647
0.55	1.68548
0.551	1.68499
0.552	1.68548
0.553	1.68598
0.554	1.68811
0.555	1.68877
0.556	1.68894
0.557	1.68877
0.558	1.68729
0.559	1.68877
0.56	1.68927
0.561	1.69075
0.562	1.69025
0.563	1.68828
0.564	1.68663
0.565	1.69338
0.566	1.69025
0.567	1.69107
0.568	1.69173
0.569	1.69223
0.57	1.69288
0.571	1.69288
0.572	1.69321
0.573	1.6914
0.574	1.69305
0.575	1.69288
0.576	1.69338
0.577	1.69371
0.578	1.69453
0.579	1.69551
0.58	1.69568
0.581	1.69601
0.582	1.69617
0.583	1.6965
0.584	1.69683
