Time - Dev5/ai0	Amplitude - Dev5/ai0
0	1.50786
0.001	1.50243
0.002	1.50622
0.003	1.50671
0.004	1.50539
0.005	1.5049
0.006	1.50408
0.007	1.50539
0.008	1.50556
0.009	1.50539
0.01	1.50638
0.011	1.50424
0.012	1.5072
0.013	1.50803
0.014	1.50572
0.015	1.50506
0.016	1.50687
0.017	1.50622
0.018	1.50539
0.019	1.50572
0.02	1.50687
0.021	1.50523
0.022	1.50474
0.023	1.50474
0.024	1.50523
0.025	1.50572
0.026	1.5049
0.027	1.50605
0.028	1.50506
0.029	1.50556
0.03	1.50506
0.031	1.50441
0.032	1.50819
0.033	1.50539
0.034	1.50803
0.035	1.50474
0.036	1.50572
0.037	1.50687
0.038	1.50638
0.039	1.50654
0.04	1.5049
0.041	1.50506
0.042	1.50457
0.043	1.50556
0.044	1.50605
0.045	1.50572
0.046	1.5049
0.047	1.50572
0.048	1.50605
0.049	1.50441
0.05	1.50572
0.051	1.50523
0.052	1.50556
0.053	1.50654
0.054	1.50572
0.055	1.50605
0.056	1.50556
0.057	1.50539
0.058	1.50737
0.059	1.50589
0.06	1.50918
0.061	1.5049
0.062	1.50638
0.063	1.50523
0.064	1.50572
0.065	1.50671
0.066	1.50556
0.067	1.50441
0.068	1.50523
0.069	1.50605
0.07	1.50572
0.071	1.50523
0.072	1.50638
0.073	1.50572
0.074	1.50622
0.075	1.50753
0.076	1.5072
0.077	1.50687
0.078	1.50622
0.079	1.50391
0.08	1.50868
0.081	1.50342
0.082	1.50474
0.083	1.50523
0.084	1.50572
0.085	1.50539
0.086	1.50852
0.087	1.50391
0.088	1.50622
0.089	1.50556
0.09	1.50441
0.091	1.50605
0.092	1.50572
0.093	1.5072
0.094	1.50605
0.095	1.50605
0.096	1.50671
0.097	1.50441
0.098	1.50819
0.099	1.50457
0.1	1.51
0.101	1.50572
0.102	1.50622
0.103	1.50638
0.104	1.50457
0.105	1.50539
0.106	1.50589
0.107	1.50622
0.108	1.50539
0.109	1.50408
0.11	1.50572
0.111	1.50539
0.112	1.50671
0.113	1.50589
0.114	1.50671
0.115	1.50786
0.116	1.50737
0.117	1.50589
0.118	1.5049
0.119	1.50654
0.12	1.50539
0.121	1.50391
0.122	1.50572
0.123	1.50474
0.124	1.50803
