Time - Dev5/ai0	Amplitude - Dev5/ai0
0	1.50786
0.001	1.50605
0.002	1.50539
0.003	1.50391
0.004	1.50539
0.005	1.50474
0.006	1.50687
0.007	1.50506
0.008	1.50868
0.009	1.50704
0.01	1.50556
0.011	1.50424
0.012	1.50293
0.013	1.50293
0.014	1.50128
0.015	1.50408
0.016	1.50638
0.017	1.50589
0.018	1.51099
0.019	1.51181
0.02	1.50589
0.021	1.50539
0.022	1.50556
0.023	1.50424
0.024	1.50375
0.025	1.50474
0.026	1.50589
0.027	1.50687
0.028	1.50918
0.029	1.50589
0.03	1.50506
0.031	1.50539
0.032	1.4998
0.033	1.50309
0.034	1.5021
0.035	1.50523
0.036	1.50753
0.037	1.50983
0.038	1.5077
0.039	1.50819
0.04	1.50572
0.041	1.50556
0.042	1.50375
0.043	1.50276
0.044	1.50506
0.045	1.50622
0.046	1.50589
0.047	1.5072
0.048	1.50506
0.049	1.50589
0.05	1.5049
0.051	1.50391
0.052	1.5021
0.053	1.50424
0.054	1.50161
0.055	1.5077
0.056	1.50803
0.057	1.51033
0.058	1.50408
0.059	1.50934
0.06	1.50638
0.061	1.50342
0.062	1.50391
0.063	1.50391
0.064	1.50243
0.065	1.50654
0.066	1.50654
0.067	1.50572
0.068	1.50441
0.069	1.50556
0.07	1.50474
0.071	1.50326
0.072	1.50309
0.073	1.50326
0.074	1.50572
0.075	1.50687
0.076	1.50671
0.077	1.51131
0.078	1.50441
0.079	1.50671
0.08	1.50358
0.081	1.50441
0.082	1.50375
0.083	1.50556
0.084	1.50474
0.085	1.50572
0.086	1.50572
0.087	1.50539
0.088	1.50474
0.089	1.50556
0.09	1.50342
0.091	1.5026
0.092	1.50556
0.093	1.50572
0.094	1.50539
0.095	1.50654
0.096	1.50605
0.097	1.50819
0.098	1.50276
0.099	1.50441
0.1	1.50523
0.101	1.50589
0.102	1.5049
0.103	1.50391
0.104	1.50556
0.105	1.5021
0.106	1.50358
0.107	1.50408
0.108	1.50605
0.109	1.50424
0.11	1.50523
0.111	1.50589
0.112	1.50556
0.113	1.50523
0.114	1.50605
0.115	1.50605
0.116	1.50654
0.117	1.50622
0.118	1.50194
0.119	1.50654
0.12	1.50424
0.121	1.50408
0.122	1.50457
0.123	1.50358
0.124	1.50572
0.125	1.50408
0.126	1.50276
0.127	1.50539
0.128	1.50523
0.129	1.50638
0.13	1.50309
0.131	1.50424
0.132	1.50572
0.133	1.50441
0.134	1.50605
0.135	1.50654
0.136	1.50671
0.137	1.50819
0.138	1.5003
0.139	1.50605
0.14	1.50523
0.141	1.50391
0.142	1.50424
0.143	1.5049
0.144	1.50457
0.145	1.5049
0.146	1.50589
0.147	1.50704
0.148	1.50572
0.149	1.50654
0.15	1.50622
0.151	1.50523
0.152	1.50671
0.153	1.50589
0.154	1.50506
0.155	1.50358
0.156	1.50375
0.157	1.50523
0.158	1.50276
0.159	1.50737
0.16	1.50457
0.161	1.50424
0.162	1.50391
0.163	1.50326
0.164	1.50342
0.165	1.50622
0.166	1.50638
0.167	1.50539
0.168	1.50556
0.169	1.5049
0.17	1.50556
0.171	1.5072
0.172	1.50704
0.173	1.50622
0.174	1.5049
0.175	1.50539
0.176	1.50408
0.177	1.50556
0.178	1.50753
0.179	1.50539
0.18	1.50309
0.181	1.50638
0.182	1.50293
0.183	1.50441
0.184	1.50358
0.185	1.50687
0.186	1.50556
0.187	1.50638
0.188	1.50474
0.189	1.5072
0.19	1.50605
0.191	1.50654
0.192	1.50539
0.193	1.50424
0.194	1.50589
0.195	1.50408
0.196	1.50457
0.197	1.50539
0.198	1.50441
0.199	1.5049
0.2	1.50622
0.201	1.50572
0.202	1.50671
0.203	1.50523
0.204	1.50671
0.205	1.50506
0.206	1.50309
0.207	1.50622
0.208	1.50737
0.209	1.50605
0.21	1.50589
0.211	1.50408
0.212	1.50539
0.213	1.50375
0.214	1.50408
0.215	1.50424
0.216	1.50358
0.217	1.50194
0.218	1.5021
0.219	1.50605
0.22	1.50506
0.221	1.5049
0.222	1.50556
0.223	1.5026
0.224	1.5049
0.225	1.50622
0.226	1.50424
0.227	1.50589
0.228	1.50506
0.229	1.50622
0.23	1.50523
0.231	1.50556
0.232	1.50605
0.233	1.50342
0.234	1.50408
0.235	1.50457
0.236	1.50539
0.237	1.50556
0.238	1.50704
0.239	1.50786
0.24	1.50589
0.241	1.50326
0.242	1.50506
0.243	1.50457
0.244	1.50342
0.245	1.50605
0.246	1.50654
0.247	1.50622
0.248	1.50408
0.249	1.50638
0.25	1.50589
0.251	1.50539
0.252	1.50654
0.253	1.50457
0.254	1.50178
0.255	1.50556
0.256	1.50342
0.257	1.50737
0.258	1.5021
0.259	1.50572
0.26	1.50572
0.261	1.50671
0.262	1.50572
0.263	1.50523
0.264	1.50605
0.265	1.50375
0.266	1.50572
0.267	1.50506
0.268	1.50556
0.269	1.50589
0.27	1.5077
0.271	1.50704
0.272	1.50803
0.273	1.50638
0.274	1.50572
0.275	1.50457
0.276	1.50457
0.277	1.50803
0.278	1.50835
0.279	1.50803
0.28	1.50441
0.281	1.50506
0.282	1.50622
0.283	1.5049
0.284	1.50457
0.285	1.50589
0.286	1.5049
0.287	1.50622
0.288	1.50276
0.289	1.50622
0.29	1.50506
0.291	1.50441
0.292	1.50654
0.293	1.50441
0.294	1.50622
0.295	1.50506
0.296	1.50654
0.297	1.50227
0.298	1.50309
0.299	1.50309
0.3	1.50539
0.301	1.5049
0.302	1.50622
0.303	1.50539
0.304	1.50589
0.305	1.50457
0.306	1.50506
0.307	1.5049
0.308	1.50375
0.309	1.50408
0.31	1.50523
0.311	1.50539
0.312	1.50605
0.313	1.50556
0.314	1.50539
0.315	1.50539
0.316	1.50605
0.317	1.50293
0.318	1.50556
0.319	1.50457
0.32	1.50539
0.321	1.50474
0.322	1.50326
0.323	1.50342
0.324	1.50424
0.325	1.50441
0.326	1.50556
0.327	1.50671
0.328	1.50506
0.329	1.50391
0.33	1.50539
0.331	1.50572
0.332	1.50293
0.333	1.50506
0.334	1.50589
0.335	1.50556
0.336	1.50638
0.337	1.50408
0.338	1.51049
0.339	1.50178
0.34	1.50474
0.341	1.50408
0.342	1.50474
0.343	1.50227
0.344	1.5049
0.345	1.50523
0.346	1.50671
0.347	1.50342
0.348	1.50671
0.349	1.5049
0.35	1.50605
0.351	1.50539
0.352	1.50506
0.353	1.50391
0.354	1.50474
0.355	1.50506
0.356	1.50457
0.357	1.50424
0.358	1.50951
0.359	1.50654
0.36	1.50556
0.361	1.50605
0.362	1.50391
0.363	1.50605
0.364	1.50523
0.365	1.50342
0.366	1.50457
0.367	1.50441
0.368	1.50589
0.369	1.50622
0.37	1.50523
0.371	1.50835
0.372	1.50605
0.373	1.50835
0.374	1.50441
0.375	1.50424
0.376	1.50556
0.377	1.50408
0.378	1.50687
0.379	1.50293
0.38	1.50457
0.381	1.50326
0.382	1.50605
0.383	1.50375
0.384	1.50441
0.385	1.50375
0.386	1.50556
0.387	1.50523
0.388	1.50589
0.389	1.50539
0.39	1.50293
0.391	1.50474
0.392	1.50408
0.393	1.50391
0.394	1.5072
0.395	1.50803
0.396	1.50441
0.397	1.50654
0.398	1.50095
0.399	1.5021
0.4	1.50523
0.401	1.50441
0.402	1.50506
0.403	1.50474
0.404	1.50457
0.405	1.50506
0.406	1.5049
0.407	1.50523
0.408	1.50506
0.409	1.50309
0.41	1.50408
0.411	1.50605
0.412	1.50589
0.413	1.50556
0.414	1.50358
0.415	1.50572
0.416	1.50622
0.417	1.50441
0.418	1.50967
0.419	1.50441
0.42	1.50474
0.421	1.50605
0.422	1.50622
0.423	1.50457
0.424	1.50654
0.425	1.50391
0.426	1.50424
0.427	1.50391
0.428	1.50457
0.429	1.50457
0.43	1.50556
0.431	1.50326
0.432	1.50474
0.433	1.50654
0.434	1.50408
0.435	1.50506
0.436	1.50589
0.437	1.50358
0.438	1.50868
0.439	1.50523
0.44	1.50441
0.441	1.5072
0.442	1.50556
0.443	1.50424
0.444	1.50506
0.445	1.50523
0.446	1.50556
0.447	1.50622
0.448	1.50671
0.449	1.50506
0.45	1.50523
0.451	1.50704
0.452	1.50572
0.453	1.50523
0.454	1.50506
0.455	1.50654
0.456	1.50671
0.457	1.50441
0.458	1.50835
0.459	1.50523
0.46	1.50457
0.461	1.50589
0.462	1.50671
0.463	1.50556
0.464	1.50424
0.465	1.50539
0.466	1.50441
0.467	1.50654
0.468	1.5077
0.469	1.50638
0.47	1.50539
0.471	1.50622
0.472	1.50474
0.473	1.50474
0.474	1.50539
0.475	1.50523
0.476	1.50457
0.477	1.5072
0.478	1.50671
0.479	1.50424
0.48	1.50457
0.481	1.50589
0.482	1.5049
0.483	1.50474
0.484	1.50539
0.485	1.50737
0.486	1.50556
0.487	1.50589
0.488	1.50326
0.489	1.50605
0.49	1.50556
0.491	1.50589
0.492	1.50704
0.493	1.50572
0.494	1.50539
0.495	1.50506
0.496	1.50539
0.497	1.50539
0.498	1.50079
0.499	1.68696
0.5	1.68302
0.501	1.65917
0.502	1.65111
0.503	1.40836
0.504	1.53335
0.505	1.6595
0.506	1.56773
0.507	1.35836
0.508	1.40737
0.509	1.43286
0.51	1.56181
0.511	1.49372
0.512	1.3036
0.513	1.31774
0.514	1.60736
0.515	1.64535
0.516	1.485
0.517	1.4077
0.518	1.47957
0.519	1.5345
0.52	1.56592
0.521	1.45063
0.522	1.31922
0.523	1.42431
0.524	1.57315
0.525	1.56444
0.526	1.48632
0.527	1.45293
0.528	1.51279
0.529	1.60934
0.53	1.57036
0.531	1.48237
0.532	1.5202
0.533	1.62101
0.534	1.62463
0.535	1.50358
0.536	1.41527
0.537	1.44997
0.538	1.52628
0.539	1.49635
0.54	1.40836
0.541	1.39043
0.542	1.46822
0.543	1.55671
0.544	1.56197
0.545	1.50885
0.546	1.4674
0.547	1.48171
0.548	1.49882
0.549	1.50227
0.55	1.49717
0.551	1.51411
0.552	1.54289
0.553	1.54996
0.554	1.5396
0.555	1.52842
0.556	1.51937
0.557	1.50786
0.558	1.50145
0.559	1.4947
0.56	1.47941
0.561	1.47217
0.562	1.47628
0.563	1.48023
0.564	1.48812
0.565	1.49931
0.566	1.51016
0.567	1.52233
0.568	1.52579
0.569	1.52135
0.57	1.51707
0.571	1.51362
0.572	1.50983
0.573	1.50457
0.574	1.50276
0.575	1.50375
0.576	1.50704
0.577	1.50967
0.578	1.50506
0.579	1.5026
0.58	1.49865
0.581	1.50013
