Time - Dev5/ai0	Amplitude - Dev5/ai0
0	1.51033
0.001	1.50983
0.002	1.50753
0.003	1.50852
0.004	1.50934
0.005	1.50885
0.006	1.50934
0.007	1.50868
0.008	1.50803
0.009	1.50918
0.01	1.50967
0.011	1.50934
0.012	1.50654
0.013	1.51
0.014	1.50885
0.015	1.50835
0.016	1.51164
0.017	1.51115
0.018	1.50983
0.019	1.50803
0.02	1.50934
0.021	1.50967
0.022	1.50967
0.023	1.50934
0.024	1.51247
0.025	1.50819
0.026	1.50803
0.027	1.50868
0.028	1.50934
0.029	1.50983
0.03	1.51164
0.031	1.50901
0.032	1.51016
0.033	1.50753
0.034	1.51099
0.035	1.50852
0.036	1.50951
0.037	1.50967
0.038	1.50885
0.039	1.50951
0.04	1.51049
0.041	1.50885
0.042	1.50885
0.043	1.50885
0.044	1.50951
0.045	1.50983
0.046	1.51066
0.047	1.51016
0.048	1.50885
0.049	1.50983
0.05	1.5077
0.051	1.51
0.052	1.51115
0.053	1.50671
0.054	1.50918
0.055	1.50918
0.056	1.50983
0.057	1.50967
0.058	1.50918
0.059	1.51049
0.06	1.51016
0.061	1.50918
0.062	1.51082
0.063	1.51099
0.064	1.51
0.065	1.50852
0.066	1.50901
0.067	1.50786
0.068	1.50951
0.069	1.50868
0.07	1.51033
0.071	1.50819
0.072	1.51115
0.073	1.51214
0.074	1.51082
0.075	1.50687
0.076	1.51049
0.077	1.51099
0.078	1.51016
0.079	1.51016
0.08	1.51148
0.081	1.50934
0.082	1.51066
0.083	1.51049
0.084	1.50951
0.085	1.51131
0.086	1.50967
0.087	1.51049
0.088	1.50934
0.089	1.50983
0.09	1.51082
0.091	1.50918
0.092	1.51214
0.093	1.50951
0.094	1.50852
0.095	1.50918
0.096	1.50934
0.097	1.50967
0.098	1.51049
0.099	1.50934
0.1	1.50934
0.101	1.50967
0.102	1.50934
0.103	1.50983
0.104	1.51016
0.105	1.5072
0.106	1.50819
0.107	1.51197
0.108	1.50967
0.109	1.50803
0.11	1.50803
0.111	1.51164
0.112	1.50918
0.113	1.5123
0.114	1.50901
0.115	1.50737
0.116	1.50918
0.117	1.50852
0.118	1.50983
0.119	1.51049
0.12	1.50885
0.121	1.51082
0.122	1.51
0.123	1.51082
0.124	1.51099
0.125	1.51016
0.126	1.50951
0.127	1.50934
0.128	1.51066
0.129	1.50852
0.13	1.51247
0.131	1.50951
0.132	1.50885
0.133	1.50868
0.134	1.50803
0.135	1.50951
0.136	1.50951
0.137	1.51016
0.138	1.50737
0.139	1.51115
0.14	1.50803
0.141	1.50983
0.142	1.51131
0.143	1.51099
0.144	1.51181
0.145	1.50983
0.146	1.51148
0.147	1.50852
0.148	1.51066
0.149	1.50967
0.15	1.50951
0.151	1.50901
0.152	1.51049
0.153	1.50918
0.154	1.51
0.155	1.50885
0.156	1.50901
0.157	1.50934
0.158	1.50819
0.159	1.50951
0.16	1.51066
0.161	1.50803
0.162	1.51214
0.163	1.50951
0.164	1.51
0.165	1.50786
0.166	1.50885
0.167	1.51049
0.168	1.51115
0.169	1.50885
0.17	1.50951
0.171	1.5123
0.172	1.5077
0.173	1.50934
0.174	1.50951
0.175	1.51016
0.176	1.50687
0.177	1.50852
0.178	1.50819
0.179	1.50983
0.18	1.51164
0.181	1.5072
0.182	1.50934
0.183	1.50951
0.184	1.51
0.185	1.50852
0.186	1.50852
0.187	1.50868
0.188	1.50967
0.189	1.50967
0.19	1.51016
0.191	1.50622
0.192	1.51197
0.193	1.5077
0.194	1.50934
0.195	1.5077
0.196	1.50951
0.197	1.50918
0.198	1.50835
0.199	1.50951
0.2	1.50983
0.201	1.50934
0.202	1.50983
0.203	1.50786
0.204	1.50967
0.205	1.50753
0.206	1.50852
0.207	1.51148
0.208	1.5077
0.209	1.50934
0.21	1.50687
0.211	1.51214
0.212	1.50704
0.213	1.51049
0.214	1.51164
0.215	1.51033
0.216	1.50918
0.217	1.50868
0.218	1.5077
0.219	1.51033
0.22	1.50687
0.221	1.50967
0.222	1.51
0.223	1.50951
0.224	1.50934
0.225	1.51049
0.226	1.50918
0.227	1.51
0.228	1.50704
0.229	1.50934
0.23	1.50885
0.231	1.51181
0.232	1.51131
0.233	1.50951
0.234	1.50852
0.235	1.50983
0.236	1.51049
0.237	1.50835
0.238	1.50753
0.239	1.50901
0.24	1.50868
0.241	1.50885
0.242	1.50852
0.243	1.50934
0.244	1.50885
0.245	1.50868
0.246	1.50819
0.247	1.50901
0.248	1.50918
0.249	1.51016
0.25	1.51016
0.251	1.51049
0.252	1.50753
0.253	1.50983
0.254	1.51066
0.255	1.51033
0.256	1.51066
0.257	1.50934
0.258	1.50753
0.259	1.51099
0.26	1.50687
0.261	1.50934
0.262	1.51181
0.263	1.50803
0.264	1.50918
0.265	1.50901
0.266	1.50967
0.267	1.50918
0.268	1.50753
0.269	1.50918
0.27	1.51
0.271	1.51066
0.272	1.5123
0.273	1.51197
0.274	1.50835
0.275	1.50918
0.276	1.50983
0.277	1.50868
0.278	1.51
0.279	1.50885
0.28	1.50835
0.281	1.50868
0.282	1.51049
0.283	1.51115
0.284	1.50819
0.285	1.50901
0.286	1.50786
0.287	1.51049
0.288	1.51
0.289	1.50885
0.29	1.50819
0.291	1.50803
0.292	1.50983
0.293	1.51181
0.294	1.51049
0.295	1.51099
0.296	1.50918
0.297	1.51
0.298	1.50622
0.299	1.50687
0.3	1.50951
0.301	1.51164
0.302	1.50918
0.303	1.51148
0.304	1.50885
0.305	1.51148
0.306	1.51197
0.307	1.50901
0.308	1.51049
0.309	1.50983
0.31	1.50983
0.311	1.51131
0.312	1.50885
0.313	1.50951
0.314	1.51
0.315	1.50803
0.316	1.50951
0.317	1.50983
0.318	1.50934
0.319	1.50605
0.32	1.50967
0.321	1.50638
0.322	1.50852
0.323	1.51082
0.324	1.51066
0.325	1.50983
0.326	1.50835
0.327	1.50852
0.328	1.50819
0.329	1.50983
0.33	1.51
0.331	1.50967
0.332	1.50852
0.333	1.51115
0.334	1.50951
0.335	1.50885
0.336	1.51099
0.337	1.51033
0.338	1.50983
0.339	1.50852
0.34	1.50967
0.341	1.50901
0.342	1.50901
0.343	1.5072
0.344	1.50901
0.345	1.51115
0.346	1.51049
0.347	1.50934
0.348	1.50983
0.349	1.50885
0.35	1.50835
0.351	1.51247
0.352	1.50835
0.353	1.50868
0.354	1.50951
0.355	1.50934
0.356	1.50819
0.357	1.51164
0.358	1.50983
0.359	1.51049
0.36	1.50967
0.361	1.50885
0.362	1.51066
0.363	1.51131
0.364	1.51049
0.365	1.50951
0.366	1.50983
0.367	1.5072
0.368	1.51066
0.369	1.51164
0.37	1.50868
0.371	1.51066
0.372	1.51197
0.373	1.51148
0.374	1.50918
0.375	1.51148
0.376	1.51131
0.377	1.50852
0.378	1.50704
0.379	1.50934
0.38	1.50951
0.381	1.51082
0.382	1.50934
0.383	1.50753
0.384	1.50868
0.385	1.51164
0.386	1.50868
0.387	1.50901
0.388	1.50951
0.389	1.51049
0.39	1.50983
0.391	1.50868
0.392	1.5123
0.393	1.50835
0.394	1.51033
0.395	1.51082
0.396	1.51033
0.397	1.51099
0.398	1.50835
0.399	1.50901
0.4	1.51066
0.401	1.51016
0.402	1.50918
0.403	1.50934
0.404	1.51148
0.405	1.51214
0.406	1.50951
0.407	1.50786
0.408	1.50918
0.409	1.51115
0.41	1.50934
0.411	1.50753
0.412	1.51115
0.413	1.50885
0.414	1.51115
0.415	1.50983
0.416	1.50967
0.417	1.51016
0.418	1.50852
0.419	1.51
0.42	1.50868
0.421	1.50967
0.422	1.5072
0.423	1.51016
0.424	1.5077
0.425	1.50786
0.426	1.51115
0.427	1.51
0.428	1.50967
0.429	1.51049
0.43	1.50967
0.431	1.50918
0.432	1.51181
0.433	1.50819
0.434	1.51033
0.435	1.50951
0.436	1.50983
0.437	1.50901
0.438	1.50901
0.439	1.50934
0.44	1.51033
0.441	1.51049
0.442	1.50918
0.443	1.50934
0.444	1.51181
0.445	1.51033
0.446	1.51033
0.447	1.50934
0.448	1.50967
0.449	1.51033
0.45	1.51033
0.451	1.51016
0.452	1.51115
0.453	1.51016
0.454	1.51099
0.455	1.51016
0.456	1.50934
0.457	1.50983
0.458	1.51
0.459	1.51
0.46	1.50901
0.461	1.51197
0.462	1.50868
0.463	1.51066
0.464	1.51115
0.465	1.51263
0.466	1.51395
0.467	1.56904
0.468	1.65539
0.469	1.66887
0.47	1.67841
0.471	1.68137
0.472	1.67874
0.473	1.68186
0.474	1.68647
0.475	1.68976
0.476	1.68861
0.477	1.6868
0.478	1.68696
0.479	1.68778
0.48	1.69058
0.481	1.68959
0.482	1.68647
0.483	1.68055
0.484	1.6794
0.485	1.68022
0.486	1.67989
0.487	1.67874
0.488	1.67775
0.489	1.67709
0.49	1.67561
0.491	1.67315
0.492	1.66821
0.493	1.66854
0.494	1.66887
0.495	1.66871
0.496	1.66772
0.497	1.6641
0.498	1.66328
0.499	1.66262
0.5	1.66196
0.501	1.65851
0.502	1.65588
0.503	1.65719
0.504	1.65983
0.505	1.65983
0.506	1.65917
0.507	1.65999
0.508	1.66163
0.509	1.66262
0.51	1.66279
0.511	1.66262
0.512	1.66213
0.513	1.66591
0.514	1.6664
0.515	1.66772
0.516	1.66756
0.517	1.67002
0.518	1.6715
0.519	1.67084
0.52	1.67068
0.521	1.67233
0.522	1.67348
0.523	1.67463
0.524	1.67413
0.525	1.67446
0.526	1.67611
0.527	1.67578
0.528	1.67413
0.529	1.67561
0.53	1.67545
0.531	1.67463
0.532	1.67381
0.533	1.67446
0.534	1.67282
0.535	1.67315
0.536	1.67216
0.537	1.67249
0.538	1.67315
0.539	1.67348
0.54	1.67282
0.541	1.67413
0.542	1.67249
0.543	1.67315
0.544	1.67298
0.545	1.67249
0.546	1.67265
0.547	1.67331
0.548	1.67183
0.549	1.67249
0.55	1.67413
0.551	1.672
0.552	1.67315
0.553	1.67348
0.554	1.67381
0.555	1.67315
0.556	1.67348
0.557	1.67348
0.558	1.67249
0.559	1.67413
0.56	1.67413
0.561	1.67446
0.562	1.67413
0.563	1.67348
0.564	1.6743
0.565	1.67233
0.566	1.67216
0.567	1.67331
0.568	1.67265
0.569	1.67265
0.57	1.67249
0.571	1.67101
0.572	1.67364
0.573	1.67052
0.574	1.67265
0.575	1.67101
0.576	1.67216
0.577	1.67117
0.578	1.67183
0.579	1.67052
0.58	1.67068
0.581	1.6692
0.582	1.66969
0.583	1.66986
0.584	1.66871
0.585	1.66723
0.586	1.66953
0.587	1.66887
0.588	1.66739
0.589	1.66969
0.59	1.66871
0.591	1.66969
0.592	1.66838
0.593	1.66673
0.594	1.6692
0.595	1.66887
0.596	1.6692
0.597	1.66739
0.598	1.66739
0.599	1.66821
0.6	1.66821
0.601	1.66772
0.602	1.66772
0.603	1.66723
0.604	1.66657
0.605	1.66492
0.606	1.66575
0.607	1.66624
0.608	1.66575
0.609	1.66492
0.61	1.66542
0.611	1.66509
0.612	1.6664
0.613	1.66377
0.614	1.66443
0.615	1.66427
0.616	1.66476
0.617	1.66246
0.618	1.66262
0.619	1.66443
0.62	1.66262
0.621	1.66279
0.622	1.66213
0.623	1.66196
0.624	1.66163
0.625	1.66147
0.626	1.66163
0.627	1.65999
0.628	1.66015
0.629	1.659
0.63	1.6595
0.631	1.65999
